# splot [u=0:6.28] (1-sin(u))*cos(u)-0.3, (1-sin(u))*sin(u)+0.2, 3*sin(u) notitle
point13564 < -0.306290 0.226431 2.918493 >
point13565 < -0.306301 0.226460 2.918401 >
point13566 < -0.306311 0.226489 2.918308 >
point13567 < -0.306322 0.226518 2.918216 >
point13568 < -0.306333 0.226547 2.918123 >
point13569 < -0.306343 0.226577 2.918031 >
point13570 < -0.306354 0.226606 2.917938 >
point13571 < -0.306365 0.226635 2.917845 >
point13572 < -0.306376 0.226664 2.917753 >
point13573 < -0.306386 0.226693 2.917660 >
point13574 < -0.306397 0.226723 2.917567 >
point13575 < -0.306408 0.226752 2.917474 >
point13576 < -0.306419 0.226781 2.917381 >
point13577 < -0.306429 0.226811 2.917288 >
point13578 < -0.306440 0.226840 2.917195 >
point13579 < -0.306451 0.226869 2.917102 >
point13580 < -0.306462 0.226899 2.917008 >
point13581 < -0.306473 0.226928 2.916915 >
point13582 < -0.306484 0.226957 2.916822 >
point13583 < -0.306494 0.226987 2.916729 >
point13584 < -0.306505 0.227016 2.916635 >
point13585 < -0.306516 0.227046 2.916542 >
point13586 < -0.306527 0.227075 2.916448 >
point13587 < -0.306538 0.227104 2.916355 >
point13588 < -0.306549 0.227134 2.916261 >
point13589 < -0.306560 0.227163 2.916167 >
point13590 < -0.306571 0.227193 2.916074 >
point13591 < -0.306582 0.227222 2.915980 >
point13592 < -0.306593 0.227252 2.915886 >
point13593 < -0.306604 0.227281 2.915792 >
point13594 < -0.306615 0.227311 2.915698 >
point13595 < -0.306626 0.227341 2.915604 >
point13596 < -0.306637 0.227370 2.915510 >
point13597 < -0.306648 0.227400 2.915416 >
point13598 < -0.306659 0.227429 2.915322 >
point13599 < -0.306670 0.227459 2.915228 >
point13600 < -0.306681 0.227489 2.915134 >
point13601 < -0.306692 0.227518 2.915039 >
point13602 < -0.306703 0.227548 2.914945 >
point13603 < -0.306714 0.227578 2.914851 >
point13604 < -0.306725 0.227607 2.914756 >
point13605 < -0.306737 0.227637 2.914662 >
point13606 < -0.306748 0.227667 2.914567 >
point13607 < -0.306759 0.227696 2.914473 >
point13608 < -0.306770 0.227726 2.914378 >
point13609 < -0.306781 0.227756 2.914283 >
point13610 < -0.306792 0.227786 2.914189 >
point13611 < -0.306804 0.227815 2.914094 >
point13612 < -0.306815 0.227845 2.913999 >
point13613 < -0.306826 0.227875 2.913904 >
point13614 < -0.306837 0.227905 2.913809 >
point13615 < -0.306849 0.227935 2.913714 >
point13616 < -0.306860 0.227965 2.913619 >
point13617 < -0.306871 0.227994 2.913524 >
point13618 < -0.306882 0.228024 2.913429 >
point13619 < -0.306894 0.228054 2.913333 >
point13620 < -0.306905 0.228084 2.913238 >
point13621 < -0.306916 0.228114 2.913143 >
point13622 < -0.306928 0.228144 2.913048 >
point13623 < -0.306939 0.228174 2.912952 >
point13624 < -0.306950 0.228204 2.912857 >
point13625 < -0.306962 0.228234 2.912761 >
point13626 < -0.306973 0.228264 2.912666 >
point13627 < -0.306985 0.228294 2.912570 >
point13628 < -0.306996 0.228324 2.912474 >
point13629 < -0.307007 0.228354 2.912379 >
point13630 < -0.307019 0.228384 2.912283 >
point13631 < -0.307030 0.228414 2.912187 >
point13632 < -0.307042 0.228444 2.912091 >
point13633 < -0.307053 0.228474 2.911995 >
point13634 < -0.307065 0.228505 2.911899 >
point13635 < -0.307076 0.228535 2.911803 >
point13636 < -0.307088 0.228565 2.911707 >
point13637 < -0.307099 0.228595 2.911611 >
point13638 < -0.307111 0.228625 2.911515 >
point13639 < -0.307122 0.228655 2.911418 >
point13640 < -0.307134 0.228686 2.911322 >
point13641 < -0.307145 0.228716 2.911226 >
point13642 < -0.307157 0.228746 2.911129 >
point13643 < -0.307169 0.228776 2.911033 >
point13644 < -0.307180 0.228806 2.910937 >
point13645 < -0.307192 0.228837 2.910840 >
point13646 < -0.307203 0.228867 2.910743 >
point13647 < -0.307215 0.228897 2.910647 >
point13648 < -0.307227 0.228928 2.910550 >
point13649 < -0.307238 0.228958 2.910453 >
point13650 < -0.307250 0.228988 2.910356 >
point13651 < -0.307262 0.229019 2.910260 >
point13652 < -0.307273 0.229049 2.910163 >
point13653 < -0.307285 0.229079 2.910066 >
point13654 < -0.307297 0.229110 2.909969 >
point13655 < -0.307309 0.229140 2.909872 >
point13656 < -0.307320 0.229171 2.909775 >
point13657 < -0.307332 0.229201 2.909677 >
point13658 < -0.307344 0.229232 2.909580 >
point13659 < -0.307356 0.229262 2.909483 >
point13660 < -0.307368 0.229292 2.909386 >
point13661 < -0.307379 0.229323 2.909288 >
point13662 < -0.307391 0.229353 2.909191 >
point13663 < -0.307403 0.229384 2.909093 >
point13664 < -0.307415 0.229415 2.908996 >
point13665 < -0.307427 0.229445 2.908898 >
point13666 < -0.307439 0.229476 2.908801 >
point13667 < -0.307451 0.229506 2.908703 >
point13668 < -0.307462 0.229537 2.908605 >
point13669 < -0.307474 0.229567 2.908507 >
point13670 < -0.307486 0.229598 2.908410 >
point13671 < -0.307498 0.229629 2.908312 >
point13672 < -0.307510 0.229659 2.908214 >
point13673 < -0.307522 0.229690 2.908116 >
point13674 < -0.307534 0.229721 2.908018 >
point13675 < -0.307546 0.229751 2.907920 >
point13676 < -0.307558 0.229782 2.907821 >
point13677 < -0.307570 0.229813 2.907723 >
point13678 < -0.307582 0.229844 2.907625 >
point13679 < -0.307594 0.229874 2.907527 >
point13680 < -0.307606 0.229905 2.907428 >
point13681 < -0.307618 0.229936 2.907330 >
point13682 < -0.307630 0.229967 2.907231 >
point13683 < -0.307643 0.229997 2.907133 >
point13684 < -0.307655 0.230028 2.907034 >
point13685 < -0.307667 0.230059 2.906936 >
point13686 < -0.307679 0.230090 2.906837 >
point13687 < -0.307691 0.230121 2.906738 >
point13688 < -0.307703 0.230152 2.906640 >
point13689 < -0.307715 0.230183 2.906541 >
point13690 < -0.307728 0.230213 2.906442 >
point13691 < -0.307740 0.230244 2.906343 >
point13692 < -0.307752 0.230275 2.906244 >
point13693 < -0.307764 0.230306 2.906145 >
point13694 < -0.307776 0.230337 2.906046 >
point13695 < -0.307789 0.230368 2.905947 >
point13696 < -0.307801 0.230399 2.905848 >
point13697 < -0.307813 0.230430 2.905748 >
point13698 < -0.307825 0.230461 2.905649 >
point13699 < -0.307838 0.230492 2.905550 >
point13700 < -0.307850 0.230523 2.905451 >
point13701 < -0.307862 0.230554 2.905351 >
point13702 < -0.307875 0.230585 2.905252 >
point13703 < -0.307887 0.230616 2.905152 >
point13704 < -0.307899 0.230648 2.905052 >
point13705 < -0.307912 0.230679 2.904953 >
point13706 < -0.307924 0.230710 2.904853 >
point13707 < -0.307937 0.230741 2.904753 >
point13708 < -0.307949 0.230772 2.904654 >
point13709 < -0.307961 0.230803 2.904554 >
point13710 < -0.307974 0.230834 2.904454 >
point13711 < -0.307986 0.230866 2.904354 >
point13712 < -0.307999 0.230897 2.904254 >
point13713 < -0.308011 0.230928 2.904154 >
point13714 < -0.308024 0.230959 2.904054 >
point13715 < -0.308036 0.230990 2.903954 >
point13716 < -0.308049 0.231022 2.903853 >
point13717 < -0.308061 0.231053 2.903753 >
point13718 < -0.308074 0.231084 2.903653 >
point13719 < -0.308086 0.231116 2.903553 >
point13720 < -0.308099 0.231147 2.903452 >
point13721 < -0.308111 0.231178 2.903352 >
point13722 < -0.308124 0.231210 2.903251 >
point13723 < -0.308137 0.231241 2.903151 >
point13724 < -0.308149 0.231272 2.903050 >
point13725 < -0.308162 0.231304 2.902949 >
point13726 < -0.308175 0.231335 2.902849 >
point13727 < -0.308187 0.231367 2.902748 >
point13728 < -0.308200 0.231398 2.902647 >
point13729 < -0.308213 0.231429 2.902546 >
point13730 < -0.308225 0.231461 2.902445 >
point13731 < -0.308238 0.231492 2.902344 >
point13732 < -0.308251 0.231524 2.902243 >
point13733 < -0.308263 0.231555 2.902142 >
point13734 < -0.308276 0.231587 2.902041 >
point13735 < -0.308289 0.231618 2.901940 >
point13736 < -0.308302 0.231650 2.901839 >
point13737 < -0.308314 0.231681 2.901737 >
point13738 < -0.308327 0.231713 2.901636 >
point13739 < -0.308340 0.231745 2.901535 >
point13740 < -0.308353 0.231776 2.901433 >
point13741 < -0.308366 0.231808 2.901332 >
point13742 < -0.308378 0.231839 2.901230 >
point13743 < -0.308391 0.231871 2.901129 >
point13744 < -0.308404 0.231903 2.901027 >
point13745 < -0.308417 0.231934 2.900925 >
point13746 < -0.308430 0.231966 2.900823 >
point13747 < -0.308443 0.231998 2.900722 >
point13748 < -0.308456 0.232029 2.900620 >
point13749 < -0.308469 0.232061 2.900518 >
point13750 < -0.308482 0.232093 2.900416 >
point13751 < -0.308495 0.232125 2.900314 >
point13752 < -0.308508 0.232156 2.900212 >
point13753 < -0.308521 0.232188 2.900110 >
point13754 < -0.308534 0.232220 2.900008 >
point13755 < -0.308547 0.232252 2.899906 >
point13756 < -0.308560 0.232283 2.899803 >
point13757 < -0.308573 0.232315 2.899701 >
point13758 < -0.308586 0.232347 2.899599 >
point13759 < -0.308599 0.232379 2.899496 >
point13760 < -0.308612 0.232411 2.899394 >
point13761 < -0.308625 0.232443 2.899291 >
point13762 < -0.308638 0.232475 2.899189 >
point13763 < -0.308651 0.232506 2.899086 >
point13764 < -0.308664 0.232538 2.898983 >
point13765 < -0.308677 0.232570 2.898881 >
point13766 < -0.308691 0.232602 2.898778 >
point13767 < -0.308704 0.232634 2.898675 >
point13768 < -0.308717 0.232666 2.898572 >
point13769 < -0.308730 0.232698 2.898469 >
point13770 < -0.308743 0.232730 2.898366 >
point13771 < -0.308757 0.232762 2.898263 >
point13772 < -0.308770 0.232794 2.898160 >
point13773 < -0.308783 0.232826 2.898057 >
point13774 < -0.308796 0.232858 2.897954 >
point13775 < -0.308810 0.232890 2.897851 >
point13776 < -0.308823 0.232922 2.897747 >
point13777 < -0.308836 0.232955 2.897644 >
point13778 < -0.308850 0.232987 2.897541 >
point13779 < -0.308863 0.233019 2.897437 >
point13780 < -0.308876 0.233051 2.897334 >
point13781 < -0.308890 0.233083 2.897230 >
point13782 < -0.308903 0.233115 2.897127 >
point13783 < -0.308916 0.233147 2.897023 >
point13784 < -0.308930 0.233180 2.896919 >
point13785 < -0.308943 0.233212 2.896816 >
point13786 < -0.308957 0.233244 2.896712 >
point13787 < -0.308970 0.233276 2.896608 >
point13788 < -0.308983 0.233309 2.896504 >
point13789 < -0.308997 0.233341 2.896400 >
point13790 < -0.309010 0.233373 2.896296 >
point13791 < -0.309024 0.233405 2.896192 >
point13792 < -0.309037 0.233438 2.896088 >
point13793 < -0.309051 0.233470 2.895984 >
point13794 < -0.309064 0.233502 2.895880 >
point13795 < -0.309078 0.233535 2.895775 >
point13796 < -0.309091 0.233567 2.895671 >
point13797 < -0.309105 0.233599 2.895567 >
point13798 < -0.309119 0.233632 2.895462 >
point13799 < -0.309132 0.233664 2.895358 >
point13800 < -0.309146 0.233697 2.895253 >
point13801 < -0.309159 0.233729 2.895149 >
point13802 < -0.309173 0.233761 2.895044 >
point13803 < -0.309187 0.233794 2.894939 >
point13804 < -0.309200 0.233826 2.894835 >
point13805 < -0.309214 0.233859 2.894730 >
point13806 < -0.309228 0.233891 2.894625 >
point13807 < -0.309241 0.233924 2.894520 >
point13808 < -0.309255 0.233956 2.894415 >
point13809 < -0.309269 0.233989 2.894310 >
point13810 < -0.309283 0.234021 2.894205 >
point13811 < -0.309296 0.234054 2.894100 >
point13812 < -0.309310 0.234086 2.893995 >
point13813 < -0.309324 0.234119 2.893890 >
point13814 < -0.309338 0.234152 2.893785 >
point13815 < -0.309351 0.234184 2.893679 >
point13816 < -0.309365 0.234217 2.893574 >
point13817 < -0.309379 0.234249 2.893469 >
point13818 < -0.309393 0.234282 2.893363 >
point13819 < -0.309407 0.234315 2.893258 >
point13820 < -0.309421 0.234347 2.893152 >
point13821 < -0.309435 0.234380 2.893047 >
point13822 < -0.309448 0.234413 2.892941 >
point13823 < -0.309462 0.234446 2.892835 >
point13824 < -0.309476 0.234478 2.892730 >
point13825 < -0.309490 0.234511 2.892624 >
point13826 < -0.309504 0.234544 2.892518 >
point13827 < -0.309518 0.234577 2.892412 >
point13828 < -0.309532 0.234609 2.892306 >
point13829 < -0.309546 0.234642 2.892200 >
point13830 < -0.309560 0.234675 2.892094 >
point13831 < -0.309574 0.234708 2.891988 >
point13832 < -0.309588 0.234741 2.891882 >
point13833 < -0.309602 0.234773 2.891776 >
point13834 < -0.309616 0.234806 2.891669 >
point13835 < -0.309630 0.234839 2.891563 >
point13836 < -0.309644 0.234872 2.891457 >
point13837 < -0.309658 0.234905 2.891350 >
point13838 < -0.309673 0.234938 2.891244 >
point13839 < -0.309687 0.234971 2.891137 >
point13840 < -0.309701 0.235004 2.891031 >
point13841 < -0.309715 0.235037 2.890924 >
point13842 < -0.309729 0.235070 2.890817 >
point13843 < -0.309743 0.235103 2.890711 >
point13844 < -0.309758 0.235136 2.890604 >
point13845 < -0.309772 0.235169 2.890497 >
point13846 < -0.309786 0.235202 2.890390 >
point13847 < -0.309800 0.235235 2.890283 >
point13848 < -0.309814 0.235268 2.890176 >
point13849 < -0.309829 0.235301 2.890069 >
point13850 < -0.309843 0.235334 2.889962 >
point13851 < -0.309857 0.235367 2.889855 >
point13852 < -0.309872 0.235400 2.889748 >
point13853 < -0.309886 0.235433 2.889641 >
point13854 < -0.309900 0.235466 2.889533 >
point13855 < -0.309915 0.235499 2.889426 >
point13856 < -0.309929 0.235533 2.889319 >
point13857 < -0.309943 0.235566 2.889211 >
point13858 < -0.309958 0.235599 2.889104 >
point13859 < -0.309972 0.235632 2.888996 >
point13860 < -0.309986 0.235665 2.888889 >
point13861 < -0.310001 0.235699 2.888781 >
point13862 < -0.310015 0.235732 2.888673 >
point13863 < -0.310030 0.235765 2.888566 >
point13864 < -0.310044 0.235798 2.888458 >
point13865 < -0.310059 0.235832 2.888350 >
point13866 < -0.310073 0.235865 2.888242 >
point13867 < -0.310088 0.235898 2.888134 >
point13868 < -0.310102 0.235931 2.888026 >
point13869 < -0.310117 0.235965 2.887918 >
point13870 < -0.310131 0.235998 2.887810 >
point13871 < -0.310146 0.236031 2.887702 >
point13872 < -0.310160 0.236065 2.887594 >
point13873 < -0.310175 0.236098 2.887486 >
point13874 < -0.310190 0.236132 2.887377 >
point13875 < -0.310204 0.236165 2.887269 >
point13876 < -0.310219 0.236198 2.887160 >
point13877 < -0.310233 0.236232 2.887052 >
point13878 < -0.310248 0.236265 2.886944 >
point13879 < -0.310263 0.236299 2.886835 >
point13880 < -0.310278 0.236332 2.886726 >
point13881 < -0.310292 0.236366 2.886618 >
point13882 < -0.310307 0.236399 2.886509 >
point13883 < -0.310322 0.236433 2.886400 >
point13884 < -0.310336 0.236466 2.886291 >
point13885 < -0.310351 0.236500 2.886183 >
point13886 < -0.310366 0.236533 2.886074 >
point13887 < -0.310381 0.236567 2.885965 >
point13888 < -0.310395 0.236600 2.885856 >
point13889 < -0.310410 0.236634 2.885747 >
point13890 < -0.310425 0.236668 2.885637 >
point13891 < -0.310440 0.236701 2.885528 >
point13892 < -0.310455 0.236735 2.885419 >
point13893 < -0.310470 0.236769 2.885310 >
point13894 < -0.310485 0.236802 2.885201 >
point13895 < -0.310499 0.236836 2.885091 >
point13896 < -0.310514 0.236870 2.884982 >
point13897 < -0.310529 0.236903 2.884872 >
point13898 < -0.310544 0.236937 2.884763 >
point13899 < -0.310559 0.236971 2.884653 >
point13900 < -0.310574 0.237004 2.884544 >
point13901 < -0.310589 0.237038 2.884434 >
point13902 < -0.310604 0.237072 2.884324 >
point13903 < -0.310619 0.237106 2.884214 >
point13904 < -0.310634 0.237139 2.884104 >
point13905 < -0.310649 0.237173 2.883995 >
point13906 < -0.310664 0.237207 2.883885 >
point13907 < -0.310679 0.237241 2.883775 >
point13908 < -0.310694 0.237275 2.883665 >
point13909 < -0.310709 0.237309 2.883555 >
point13910 < -0.310724 0.237342 2.883444 >
point13911 < -0.310740 0.237376 2.883334 >
point13912 < -0.310755 0.237410 2.883224 >
point13913 < -0.310770 0.237444 2.883114 >
point13914 < -0.310785 0.237478 2.883003 >
point13915 < -0.310800 0.237512 2.882893 >
point13916 < -0.310815 0.237546 2.882783 >
point13917 < -0.310830 0.237580 2.882672 >
point13918 < -0.310846 0.237614 2.882562 >
point13919 < -0.310861 0.237648 2.882451 >
point13920 < -0.310876 0.237682 2.882340 >
point13921 < -0.310891 0.237716 2.882230 >
point13922 < -0.310907 0.237750 2.882119 >
point13923 < -0.310922 0.237784 2.882008 >
point13924 < -0.310937 0.237818 2.881897 >
point13925 < -0.310953 0.237852 2.881786 >
point13926 < -0.310968 0.237886 2.881675 >
point13927 < -0.310983 0.237920 2.881564 >
point13928 < -0.310999 0.237954 2.881453 >
point13929 < -0.311014 0.237988 2.881342 >
point13930 < -0.311029 0.238022 2.881231 >
point13931 < -0.311045 0.238056 2.881120 >
point13932 < -0.311060 0.238091 2.881009 >
point13933 < -0.311075 0.238125 2.880897 >
point13934 < -0.311091 0.238159 2.880786 >
point13935 < -0.311106 0.238193 2.880674 >
point13936 < -0.311122 0.238227 2.880563 >
point13937 < -0.311137 0.238262 2.880451 >
point13938 < -0.311153 0.238296 2.880340 >
point13939 < -0.311168 0.238330 2.880228 >
point13940 < -0.311184 0.238364 2.880117 >
point13941 < -0.311199 0.238399 2.880005 >
point13942 < -0.311215 0.238433 2.879893 >
point13943 < -0.311230 0.238467 2.879781 >
point13944 < -0.311246 0.238501 2.879669 >
point13945 < -0.311262 0.238536 2.879557 >
point13946 < -0.311277 0.238570 2.879446 >
point13947 < -0.311293 0.238604 2.879334 >
point13948 < -0.311308 0.238639 2.879221 >
point13949 < -0.311324 0.238673 2.879109 >
point13950 < -0.311340 0.238707 2.878997 >
point13951 < -0.311355 0.238742 2.878885 >
point13952 < -0.311371 0.238776 2.878773 >
point13953 < -0.311387 0.238811 2.878660 >
point13954 < -0.311402 0.238845 2.878548 >
point13955 < -0.311418 0.238880 2.878435 >
point13956 < -0.311434 0.238914 2.878323 >
point13957 < -0.311450 0.238948 2.878210 >
point13958 < -0.311465 0.238983 2.878098 >
point13959 < -0.311481 0.239017 2.877985 >
point13960 < -0.311497 0.239052 2.877873 >
point13961 < -0.311513 0.239086 2.877760 >
point13962 < -0.311529 0.239121 2.877647 >
point13963 < -0.311545 0.239156 2.877534 >
point13964 < -0.311560 0.239190 2.877421 >
point13965 < -0.311576 0.239225 2.877308 >
point13966 < -0.311592 0.239259 2.877195 >
point13967 < -0.311608 0.239294 2.877082 >
point13968 < -0.311624 0.239328 2.876969 >
point13969 < -0.311640 0.239363 2.876856 >
point13970 < -0.311656 0.239398 2.876743 >
point13971 < -0.311672 0.239432 2.876630 >
point13972 < -0.311688 0.239467 2.876516 >
point13973 < -0.311704 0.239502 2.876403 >
point13974 < -0.311720 0.239536 2.876290 >
point13975 < -0.311736 0.239571 2.876176 >
point13976 < -0.311752 0.239606 2.876063 >
point13977 < -0.311768 0.239640 2.875949 >
point13978 < -0.311784 0.239675 2.875835 >
point13979 < -0.311800 0.239710 2.875722 >
point13980 < -0.311816 0.239745 2.875608 >
point13981 < -0.311832 0.239779 2.875494 >
point13982 < -0.311848 0.239814 2.875381 >
point13983 < -0.311864 0.239849 2.875267 >
point13984 < -0.311881 0.239884 2.875153 >
point13985 < -0.311897 0.239919 2.875039 >
point13986 < -0.311913 0.239954 2.874925 >
point13987 < -0.311929 0.239988 2.874811 >
point13988 < -0.311945 0.240023 2.874697 >
point13989 < -0.311961 0.240058 2.874583 >
point13990 < -0.311978 0.240093 2.874468 >
point13991 < -0.311994 0.240128 2.874354 >
point13992 < -0.312010 0.240163 2.874240 >
point13993 < -0.312026 0.240198 2.874125 >
point13994 < -0.312043 0.240233 2.874011 >
point13995 < -0.312059 0.240268 2.873896 >
point13996 < -0.312075 0.240303 2.873782 >
point13997 < -0.312092 0.240338 2.873667 >
point13998 < -0.312108 0.240373 2.873553 >
point13999 < -0.312124 0.240408 2.873438 >
point14000 < -0.312141 0.240443 2.873323 >
point14001 < -0.312157 0.240478 2.873209 >
point14002 < -0.312173 0.240513 2.873094 >
point14003 < -0.312190 0.240548 2.872979 >
point14004 < -0.312206 0.240583 2.872864 >
point14005 < -0.312223 0.240618 2.872749 >
point14006 < -0.312239 0.240653 2.872634 >
point14007 < -0.312256 0.240688 2.872519 >
point14008 < -0.312272 0.240723 2.872404 >
point14009 < -0.312289 0.240758 2.872289 >
point14010 < -0.312305 0.240793 2.872173 >
point14011 < -0.312322 0.240829 2.872058 >
point14012 < -0.312338 0.240864 2.871943 >
point14013 < -0.312355 0.240899 2.871827 >
point14014 < -0.312371 0.240934 2.871712 >
point14015 < -0.312388 0.240969 2.871596 >
point14016 < -0.312405 0.241004 2.871481 >
point14017 < -0.312421 0.241040 2.871365 >
point14018 < -0.312438 0.241075 2.871250 >
point14019 < -0.312454 0.241110 2.871134 >
point14020 < -0.312471 0.241145 2.871018 >
point14021 < -0.312488 0.241181 2.870902 >
point14022 < -0.312505 0.241216 2.870787 >
point14023 < -0.312521 0.241251 2.870671 >
point14024 < -0.312538 0.241287 2.870555 >
point14025 < -0.312555 0.241322 2.870439 >
point14026 < -0.312571 0.241357 2.870323 >
point14027 < -0.312588 0.241393 2.870207 >
point14028 < -0.312605 0.241428 2.870091 >
point14029 < -0.312622 0.241463 2.869974 >
point14030 < -0.312639 0.241499 2.869858 >
point14031 < -0.312655 0.241534 2.869742 >
point14032 < -0.312672 0.241570 2.869625 >
point14033 < -0.312689 0.241605 2.869509 >
point14034 < -0.312706 0.241640 2.869393 >
point14035 < -0.312723 0.241676 2.869276 >
point14036 < -0.312740 0.241711 2.869160 >
point14037 < -0.312757 0.241747 2.869043 >
point14038 < -0.312774 0.241782 2.868926 >
point14039 < -0.312790 0.241818 2.868810 >
point14040 < -0.312807 0.241853 2.868693 >
point14041 < -0.312824 0.241889 2.868576 >
point14042 < -0.312841 0.241924 2.868459 >
point14043 < -0.312858 0.241960 2.868342 >
point14044 < -0.312875 0.241996 2.868225 >
point14045 < -0.312892 0.242031 2.868108 >
point14046 < -0.312909 0.242067 2.867991 >
point14047 < -0.312926 0.242102 2.867874 >
point14048 < -0.312944 0.242138 2.867757 >
point14049 < -0.312961 0.242174 2.867640 >
point14050 < -0.312978 0.242209 2.867522 >
point14051 < -0.312995 0.242245 2.867405 >
point14052 < -0.313012 0.242280 2.867288 >
point14053 < -0.313029 0.242316 2.867170 >
point14054 < -0.313046 0.242352 2.867053 >
point14055 < -0.313063 0.242388 2.866935 >
point14056 < -0.313081 0.242423 2.866818 >
point14057 < -0.313098 0.242459 2.866700 >
point14058 < -0.313115 0.242495 2.866583 >
point14059 < -0.313132 0.242530 2.866465 >
point14060 < -0.313149 0.242566 2.866347 >
point14061 < -0.313167 0.242602 2.866229 >
point14062 < -0.313184 0.242638 2.866111 >
point14063 < -0.313201 0.242674 2.865993 >
point14064 < -0.313219 0.242709 2.865875 >
point14065 < -0.313236 0.242745 2.865757 >
point14066 < -0.313253 0.242781 2.865639 >
point14067 < -0.313271 0.242817 2.865521 >
point14068 < -0.313288 0.242853 2.865403 >
point14069 < -0.313305 0.242889 2.865285 >
point14070 < -0.313323 0.242924 2.865167 >
point14071 < -0.313340 0.242960 2.865048 >
point14072 < -0.313358 0.242996 2.864930 >
point14073 < -0.313375 0.243032 2.864811 >
point14074 < -0.313392 0.243068 2.864693 >
point14075 < -0.313410 0.243104 2.864574 >
point14076 < -0.313427 0.243140 2.864456 >
point14077 < -0.313445 0.243176 2.864337 >
point14078 < -0.313462 0.243212 2.864219 >
point14079 < -0.313480 0.243248 2.864100 >
point14080 < -0.313497 0.243284 2.863981 >
point14081 < -0.313515 0.243320 2.863862 >
point14082 < -0.313533 0.243356 2.863743 >
point14083 < -0.313550 0.243392 2.863624 >
point14084 < -0.313568 0.243428 2.863505 >
point14085 < -0.313585 0.243464 2.863386 >
point14086 < -0.313603 0.243500 2.863267 >
point14087 < -0.313621 0.243536 2.863148 >
point14088 < -0.313638 0.243572 2.863029 >
point14089 < -0.313656 0.243609 2.862910 >
point14090 < -0.313674 0.243645 2.862790 >
point14091 < -0.313691 0.243681 2.862671 >
point14092 < -0.313709 0.243717 2.862552 >
point14093 < -0.313727 0.243753 2.862432 >
point14094 < -0.313745 0.243789 2.862313 >
point14095 < -0.313762 0.243826 2.862193 >
point14096 < -0.313780 0.243862 2.862074 >
point14097 < -0.313798 0.243898 2.861954 >
point14098 < -0.313816 0.243934 2.861834 >
point14099 < -0.313834 0.243970 2.861715 >
point14100 < -0.313851 0.244007 2.861595 >
point14101 < -0.313869 0.244043 2.861475 >
point14102 < -0.313887 0.244079 2.861355 >
point14103 < -0.313905 0.244115 2.861235 >
point14104 < -0.313923 0.244152 2.861115 >
point14105 < -0.313941 0.244188 2.860995 >
point14106 < -0.313959 0.244224 2.860875 >
point14107 < -0.313977 0.244261 2.860755 >
point14108 < -0.313995 0.244297 2.860635 >
point14109 < -0.314013 0.244333 2.860514 >
point14110 < -0.314031 0.244370 2.860394 >
point14111 < -0.314049 0.244406 2.860274 >
point14112 < -0.314067 0.244443 2.860153 >
point14113 < -0.314085 0.244479 2.860033 >
point14114 < -0.314103 0.244515 2.859912 >
point14115 < -0.314121 0.244552 2.859792 >
point14116 < -0.314139 0.244588 2.859671 >
point14117 < -0.314157 0.244625 2.859550 >
point14118 < -0.314175 0.244661 2.859430 >
point14119 < -0.314193 0.244698 2.859309 >
point14120 < -0.314211 0.244734 2.859188 >
point14121 < -0.314229 0.244771 2.859067 >
point14122 < -0.314248 0.244807 2.858946 >
point14123 < -0.314266 0.244844 2.858825 >
point14124 < -0.314284 0.244880 2.858704 >
point14125 < -0.314302 0.244917 2.858583 >
point14126 < -0.314320 0.244953 2.858462 >
point14127 < -0.314339 0.244990 2.858341 >
point14128 < -0.314357 0.245027 2.858220 >
point14129 < -0.314375 0.245063 2.858099 >
point14130 < -0.314394 0.245100 2.857977 >
point14131 < -0.314412 0.245136 2.857856 >
point14132 < -0.314430 0.245173 2.857734 >
point14133 < -0.314449 0.245210 2.857613 >
point14134 < -0.314467 0.245246 2.857491 >
point14135 < -0.314485 0.245283 2.857370 >
point14136 < -0.314504 0.245320 2.857248 >
point14137 < -0.314522 0.245356 2.857127 >
point14138 < -0.314540 0.245393 2.857005 >
point14139 < -0.314559 0.245430 2.856883 >
point14140 < -0.314577 0.245467 2.856761 >
point14141 < -0.314596 0.245503 2.856639 >
point14142 < -0.314614 0.245540 2.856518 >
point14143 < -0.314633 0.245577 2.856396 >
point14144 < -0.314651 0.245614 2.856274 >
point14145 < -0.314670 0.245650 2.856151 >
point14146 < -0.314688 0.245687 2.856029 >
point14147 < -0.314707 0.245724 2.855907 >
point14148 < -0.314725 0.245761 2.855785 >
point14149 < -0.314744 0.245798 2.855663 >
point14150 < -0.314763 0.245834 2.855540 >
point14151 < -0.314781 0.245871 2.855418 >
point14152 < -0.314800 0.245908 2.855296 >
point14153 < -0.314818 0.245945 2.855173 >
point14154 < -0.314837 0.245982 2.855051 >
point14155 < -0.314856 0.246019 2.854928 >
point14156 < -0.314874 0.246056 2.854805 >
point14157 < -0.314893 0.246093 2.854683 >
point14158 < -0.314912 0.246130 2.854560 >
point14159 < -0.314931 0.246167 2.854437 >
point14160 < -0.314949 0.246204 2.854314 >
point14161 < -0.314968 0.246241 2.854191 >
point14162 < -0.314987 0.246278 2.854068 >
point14163 < -0.315006 0.246315 2.853946 >
point14164 < -0.315024 0.246352 2.853822 >
point14165 < -0.315043 0.246389 2.853699 >
point14166 < -0.315062 0.246426 2.853576 >
point14167 < -0.315081 0.246463 2.853453 >
point14168 < -0.315100 0.246500 2.853330 >
point14169 < -0.315119 0.246537 2.853207 >
